Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.8717866021,2.33903054672;"{""type"": ""Point"", ""coordinates"": [2.339030546723062, 48.87178660205623]}";334;44642;737;Richelieu-Drouot;RICHELIEU-DROUOT;Richelieu-Drouot;2213;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108043;8;METRO;M8;3.0;110.0;RATP;0;1;0;651516.8991;6863731.8941
48.8721523526,2.33911503927;"{""type"": ""Point"", ""coordinates"": [2.339115039269688, 48.872152352587385]}";335;44642;738;Richelieu-Drouot;RICHELIEU-DROUOT;Richelieu-Drouot;2242;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-108043;9;METRO;M9;3.0;110.0;RATP;0;1;0;651523.437;6863772.511
48.8610192599,2.37473343128;"{""type"": ""Point"", ""coordinates"": [2.37473343128132, 48.86101925991958]}";343;45205;758;Saint-Ambroise;SAINT-AMBROISE;Saint-Ambroise;2236;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109073;9;METRO;M9;3.0;110.0;RATP;0;1;0;654126.2223;6862513.3167
48.8514417056,2.3144081215;"{""type"": ""Point"", ""coordinates"": [2.314408121496151, 48.851441705641726]}";349;45139;765;Saint-François-Xavier;SAINT-FRANCOIS-XAVIER;Saint-François-Xavier;2336;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114051;13;METRO;M13;3.0;110.0;RATP;0;1;0;649691.21;6861485.1179
48.8640865748,2.38079798618;"{""type"": ""Point"", ""coordinates"": [2.380797986183677, 48.86408657475098]}";355;45194;774;Saint-Maur;SAINT-MAUR;Rue Saint-Maur;2070;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103041;3;METRO;M3;3.0;110.0;RATP;0;1;0;654573.8244;6862850.872
48.8488163725,2.32125786291;"{""type"": ""Point"", ""coordinates"": [2.32125786290546, 48.8488163724703]}";361;45116;871;Vaneau;VANEAU;Vaneau;2277;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110053;10;METRO;M10;3.0;110.0;RATP;0;1;0;650191.3229;6861188.8641
48.827270836,2.36803264776;"{""type"": ""Point"", ""coordinates"": [2.368032647756258, 48.82727083603917]}";365;44217;1006;Olympiades;OLYMPIADES;Olympiades;2381;Metro;0;0;0;1;0;0;0;0;0;0;M14;0;0;0;A01547;;14;6.0;14-114005;14;METRO;M14;3.0;110.0;RATP;0;1;1;653604.5847;6858764.7361
48.9307570033,2.28417444828;"{""type"": ""Point"", ""coordinates"": [2.284174448283296, 48.930757003336275]}";367;42231;1008;Les Courtilles-Asnières-Gennevilliers;LES COURTILLES-ASNIERES-GENNEVILLIERS;Asnières Gennevilliers Les Courtilles;4131;Metro;0;0;0;1;0;0;0;0;0;0;M13;0;0;0;A01546;;13;5.0;13-113079;13;METRO;M13;3.0;110.0;RATP;0;1;1;647552.6733;6870324.1848
48.8630650202,2.28624317069;"{""type"": ""Point"", ""coordinates"": [2.286243170691257, 48.86306502022606]}";371;44962;863;Trocadéro;TROCADERO;Trocadéro;2251;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109043;9;METRO;M9;3.0;110.0;RATP;0;1;0;647636.2013;6862795.8336
48.8697985565,2.28533509469;"{""type"": ""Point"", ""coordinates"": [2.285335094686169, 48.86979855646067]}";373;45020;892;Victor Hugo;VICTOR HUGO;Victor Hugo;2048;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102079;2;METRO;M2;3.0;110.0;RATP;0;1;0;647576.3599;6863545.1478
